guest_id,event_timestamp,from_zone,to_zone,ride_name,ride_category,posted_wait_min,actual_wait_min,ride_duration_min,crowd_level,temperature_f,weather,festival,party_size,ticket_type,fun_score,frustration_score
6255,2025-02-17 16:00:19,World Showcase Japan,World Showcase American Adventure,Frozen Ever After,Family,33.5,32.3,8.4,3.6,74.4,cloudy,Festival of the Arts,2,park_hopper,8.5,2.89
3847,2025-02-02 13:13:47,World Nature,Entrance,,,,,,5.7,55.0,clear,Festival of the Arts,5,standard,6.16,3.73
25248,2025-09-20 10:18:00,World Nature,Entrance,,,,,,4.4,82.0,cloudy,Food & Wine,4,standard,7.54,5.02
17304,2025-06-22 15:03:29,World Nature,World Showcase Germany,,,,,,2.1,91.5,storm,none,3,park_hopper,8.67,3.86
11495,2025-05-01 12:08:00,World Discovery,World Showcase American Adventure,,,,,,3.1,77.8,clear,Flower & Garden,5,standard,6.78,4.54
1845,2025-01-25 14:28:00,Entrance,World Discovery,,,,,,5.8,55.0,cloudy,Festival of the Arts,3,park_hopper,4.11,3.54
16902,2025-06-20 16:35:21,Entrance,World Showcase Mexico,,,,,,1.8,91.6,cloudy,none,3,standard,6.3,3.39
1028,2025-01-20 16:15:03,World Discovery,World Celebration,,,,,,4.2,67.2,cloudy,Festival of the Arts,5,standard,5.52,2.47
129,2025-01-17 11:37:22,World Showcase Morocco,World Showcase France,Gran Fiesta Tour,Family,5.0,3.8,11.2,3.7,57.0,clear,Festival of the Arts,2,standard,5.38,1.68
22077,2025-08-11 15:25:43,World Showcase Germany,World Showcase China,,,,,,2.1,77.2,storm,Food & Wine,3,standard,6.5,3.13
17592,2025-06-23 10:07:41,World Celebration,World Nature,,,,,,1.0,80.7,clear,none,2,annual_pass,6.29,2.12
13102,2025-05-17 12:26:00,World Discovery,World Showcase American Adventure,Soarin' Around the World,Family,25.9,26.4,12.2,1.2,70.1,storm,Flower & Garden,3,standard,9.31,2.65
6972,2025-02-24 19:53:37,Entrance,World Nature,,,,,,1.5,59.0,storm,Festival of the Arts,3,annual_pass,6.94,2.78
5285,2025-02-09 11:14:24,World Nature,Entrance,,,,,,4.1,55.8,clear,Festival of the Arts,6,standard,5.83,5.26
18416,2025-06-30 19:24:23,World Showcase China,World Showcase Norway,Test Track,Thrill,46.7,48.9,11.0,3.3,84.5,clear,none,4,standard,8.44,5.38
20248,2025-07-20 14:18:58,World Showcase American Adventure,World Showcase Italy,,,,,,5.7,92.0,cloudy,none,3,annual_pass,3.39,3.28
16405,2025-06-19 13:35:15,World Celebration,World Nature,Test Track,Thrill,35.3,42.1,7.1,3.1,87.2,light_rain,none,2,standard,8.39,4.85
13657,2025-05-31 17:34:13,World Showcase Germany,World Showcase China,,,,,,3.1,68.1,clear,Flower & Garden,1,annual_pass,5.68,4.54
5593,2025-02-14 16:11:26,World Discovery,Entrance,Remy's Ratatouille Adventure,Family,39.7,32.4,10.4,2.8,68.1,clear,Festival of the Arts,2,park_hopper,9.57,2.15
13905,2025-06-02 18:06:53,World Showcase China,World Showcase Germany,,,,,,1.5,83.1,cloudy,none,3,park_hopper,6.51,3.87
18642,2025-07-04 16:01:00,World Showcase China,World Showcase Norway,,,,,,1.9,98.0,light_rain,none,3,park_hopper,5.5,2.04
14970,2025-06-09 12:14:39,World Celebration,World Nature,,,,,,2.2,89.9,storm,none,5,standard,5.07,2.68
8696,2025-04-01 17:41:28,World Nature,World Celebration,Gran Fiesta Tour,Family,5.4,4.4,12.2,2.1,69.8,clear,Flower & Garden,4,standard,5.85,1.9
19138,2025-07-10 18:26:59,World Celebration,World Showcase American Adventure,,,,,,1.0,76.6,cloudy,none,3,standard,5.9,3.73
7274,2025-03-07 19:43:45,World Showcase France,Entrance,,,,,,2.1,65.9,clear,Flower & Garden,3,standard,7.29,3.49
12508,2025-05-12 19:33:00,World Showcase American Adventure,World Showcase Japan,Remy's Ratatouille Adventure,Family,48.0,44.6,11.7,1.7,66.9,storm,Flower & Garden,3,standard,9.85,2.24
24749,2025-09-19 19:42:09,World Showcase Canada,World Nature,,,,,,3.6,72.1,cloudy,Food & Wine,5,standard,4.94,4.46
11750,2025-05-02 12:52:45,World Discovery,Entrance,,,,,,1.9,81.6,clear,Flower & Garden,3,standard,5.94,3.8
21801,2025-08-10 16:12:26,World Nature,Entrance,The Seas with Nemo & Friends,Family,17.2,16.8,17.3,3.6,73.5,storm,Food & Wine,5,standard,6.55,1.0
6090,2025-02-17 11:58:48,World Showcase American Adventure,World Discovery,,,,,,4.6,74.4,cloudy,Festival of the Arts,4,standard,5.52,3.53
18981,2025-07-10 15:18:07,World Showcase Morocco,World Showcase France,,,,,,1.7,76.6,cloudy,none,5,standard,5.52,3.03
11830,2025-05-05 14:47:29,World Showcase France,World Showcase United Kingdom,,,,,,2.0,82.3,storm,Flower & Garden,3,park_hopper,6.29,2.52
3467,2025-02-01 11:39:01,World Showcase Germany,World Showcase Italy,,,,,,4.2,64.4,light_rain,Festival of the Arts,6,standard,5.38,1.05
362,2025-01-18 13:18:06,World Nature,World Showcase Germany,,,,,,6.5,55.0,clear,Festival of the Arts,2,standard,4.66,3.28
16877,2025-06-20 13:32:39,World Showcase Morocco,World Showcase France,Soarin' Around the World,Family,55.6,40.1,14.4,4.0,91.6,cloudy,none,1,annual_pass,7.71,2.16
12214,2025-05-11 15:39:14,World Showcase United Kingdom,World Showcase Italy,,,,,,4.1,73.8,cloudy,Flower & Garden,5,standard,4.98,1.31
137,2025-01-17 10:32:34,Entrance,World Discovery,,,,,,3.3,57.0,clear,Festival of the Arts,4,standard,5.4,4.36
11046,2025-04-28 16:29:58,World Nature,World Showcase Canada,Guardians of the Galaxy: Cosmic Rewind,Thrill,49.1,43.5,14.4,1.0,77.6,storm,Flower & Garden,6,standard,9.59,1.6
26233,2025-10-12 12:44:40,Entrance,World Discovery,Remy's Ratatouille Adventure,Family,35.3,34.6,12.7,7.4,80.2,cloudy,Food & Wine,5,standard,8.43,4.46
6787,2025-02-24 11:18:54,World Showcase Canada,World Showcase France,,,,,,1.2,59.0,storm,Festival of the Arts,2,standard,4.02,3.12
19118,2025-07-10 16:12:12,World Discovery,World Celebration,,,,,,2.0,76.6,cloudy,none,3,standard,6.22,2.23
5965,2025-02-16 12:14:57,World Showcase Italy,World Showcase American Adventure,,,,,,6.7,74.5,cloudy,Festival of the Arts,3,standard,5.47,4.0
1566,2025-01-24 12:33:51,World Showcase Norway,World Nature,Spaceship Earth,Family,15.5,17.7,9.9,3.6,58.7,cloudy,Festival of the Arts,4,standard,5.91,2.02
12442,2025-05-12 10:11:00,Entrance,World Discovery,Frozen Ever After,Family,38.6,34.7,14.7,1.0,66.9,storm,Flower & Garden,6,standard,7.42,3.01
5573,2025-02-11 19:34:18,Entrance,World Showcase American Adventure,Soarin' Around the World,Family,38.1,37.0,13.2,2.3,60.7,clear,Festival of the Arts,2,annual_pass,9.82,2.13
13082,2025-05-17 12:53:50,World Showcase Canada,World Showcase Japan,,,,,,1.0,70.1,storm,Flower & Garden,3,park_hopper,5.15,3.24
12817,2025-05-13 13:23:35,World Showcase American Adventure,World Discovery,Journey Into Imagination with Figment,Family,7.6,6.8,12.4,3.7,60.0,light_rain,Flower & Garden,4,standard,5.93,1.0
8373,2025-03-17 15:58:14,World Nature,Entrance,,,,,,2.7,60.2,clear,Flower & Garden,5,standard,7.9,2.7
11814,2025-05-05 10:34:42,World Discovery,World Showcase American Adventure,,,,,,1.0,82.3,storm,Flower & Garden,2,standard,7.21,3.58
7249,2025-03-07 12:33:45,World Showcase China,World Showcase Germany,Spaceship Earth,Family,10.7,11.5,15.3,3.7,65.9,clear,Flower & Garden,3,standard,7.07,1.77
13700,2025-05-31 18:56:53,World Showcase China,World Showcase Norway,,,,,,2.6,68.1,clear,Flower & Garden,5,standard,4.98,1.76
10901,2025-04-23 12:40:30,World Discovery,World Celebration,Journey Into Imagination with Figment,Family,10.4,9.9,9.3,2.7,64.1,clear,Flower & Garden,2,annual_pass,7.27,1.22
19125,2025-07-10 14:18:00,Entrance,World Discovery,Test Track,Thrill,12.6,11.9,9.7,2.8,76.6,cloudy,none,2,park_hopper,7.62,1.62
27230,2025-11-05 15:00:59,World Celebration,World Discovery,,,,,,4.1,78.5,light_rain,Food & Wine,2,park_hopper,6.36,3.12
17949,2025-06-26 15:51:00,World Showcase Morocco,World Showcase Japan,Remy's Ratatouille Adventure,Family,29.7,22.4,13.4,1.0,77.1,storm,none,6,standard,8.89,1.46
18545,2025-06-30 17:05:50,World Discovery,Entrance,,,,,,2.7,84.5,clear,none,3,park_hopper,4.98,5.53
6138,2025-02-17 13:46:00,World Showcase Italy,World Showcase American Adventure,,,,,,3.4,74.4,cloudy,Festival of the Arts,3,park_hopper,5.41,2.54
8261,2025-03-17 16:25:57,World Celebration,World Nature,,,,,,1.7,60.2,clear,Flower & Garden,1,annual_pass,4.39,2.65
11608,2025-05-02 15:57:36,World Showcase Canada,World Nature,,,,,,3.0,81.6,clear,Flower & Garden,4,standard,5.55,3.41
5506,2025-02-11 15:23:13,World Showcase American Adventure,World Discovery,,,,,,3.2,60.7,clear,Festival of the Arts,3,standard,6.5,4.82
20628,2025-07-23 09:26:44,World Discovery,World Celebration,Mission: SPACE,Thrill,33.1,27.9,8.8,3.2,87.6,clear,none,5,standard,8.45,1.88
9219,2025-04-09 12:16:36,World Celebration,World Discovery,The Seas with Nemo & Friends,Family,11.0,10.1,11.9,1.5,76.4,clear,Flower & Garden,3,standard,7.16,1.0
14636,2025-06-06 10:58:15,World Showcase United Kingdom,World Showcase Japan,,,,,,1.6,85.9,cloudy,none,4,standard,5.5,2.64
23956,2025-09-10 15:59:49,Entrance,World Discovery,,,,,,4.5,74.6,clear,Food & Wine,3,standard,4.12,3.52
25580,2025-10-07 19:46:54,World Discovery,World Showcase American Adventure,Journey Into Imagination with Figment,Family,7.0,7.0,7.9,3.8,73.7,clear,Food & Wine,2,standard,7.24,1.63
17472,2025-06-22 13:18:15,World Showcase France,World Showcase United Kingdom,Guardians of the Galaxy: Cosmic Rewind,Thrill,37.5,32.1,15.1,1.8,91.5,storm,none,3,standard,10.0,2.5
26717,2025-10-27 13:27:21,World Nature,Entrance,Remy's Ratatouille Adventure,Family,33.6,31.2,13.0,1.0,83.6,storm,Food & Wine,4,standard,7.43,1.38
22422,2025-08-14 12:53:00,World Discovery,Entrance,Guardians of the Galaxy: Cosmic Rewind,Thrill,25.1,26.4,14.9,3.6,75.3,light_rain,Food & Wine,3,park_hopper,8.71,3.19
3752,2025-02-02 14:14:55,World Showcase Morocco,World Showcase France,,,,,,4.8,55.0,clear,Festival of the Arts,5,standard,5.98,2.79
25351,2025-10-06 19:05:29,World Discovery,World Celebration,Remy's Ratatouille Adventure,Family,60.7,52.5,14.1,3.6,83.3,light_rain,Food & Wine,5,standard,9.6,4.25
9108,2025-04-09 09:16:00,Entrance,World Nature,,,,,,1.0,76.4,clear,Flower & Garden,4,standard,7.69,3.62
20144,2025-07-15 10:20:18,World Showcase Canada,World Showcase United Kingdom,,,,,,1.7,74.6,cloudy,none,3,standard,7.3,4.7
2658,2025-01-28 09:27:00,Entrance,World Discovery,Soarin' Around the World,Family,40.1,44.9,14.8,2.3,55.0,light_rain,Festival of the Arts,3,annual_pass,8.96,4.63
18296,2025-06-27 19:32:00,World Showcase Italy,World Showcase Germany,,,,,,2.9,87.8,cloudy,none,3,standard,5.47,3.84
16002,2025-06-17 15:24:23,World Showcase American Adventure,World Discovery,,,,,,1.9,87.4,storm,none,3,park_hopper,4.42,2.9
12257,2025-05-11 17:52:09,World Showcase Morocco,World Showcase Japan,,,,,,3.2,73.8,cloudy,Flower & Garden,1,annual_pass,6.76,5.24
23876,2025-09-10 17:31:59,World Showcase China,World Showcase Japan,,,,,,4.9,74.6,clear,Food & Wine,3,standard,3.59,3.46
25375,2025-10-06 16:04:46,Entrance,World Nature,The American Adventure,Slow,5.0,2.9,14.9,2.8,83.3,light_rain,Food & Wine,2,standard,7.12,1.45
25846,2025-10-08 16:44:23,World Showcase Italy,Entrance,Gran Fiesta Tour,Family,7.6,8.3,7.9,5.5,70.8,cloudy,Food & Wine,2,standard,5.85,2.25
23249,2025-09-03 20:39:18,World Showcase France,World Showcase Morocco,,,,,,1.4,86.7,storm,Food & Wine,5,park_hopper,6.44,1.19
27270,2025-11-05 16:14:51,World Showcase Germany,Entrance,,,,,,4.1,78.5,light_rain,Food & Wine,3,park_hopper,5.35,2.4
20342,2025-07-20 12:39:00,World Showcase Germany,World Showcase China,,,,,,4.3,92.0,cloudy,none,3,annual_pass,4.19,3.94
17805,2025-06-26 13:42:00,World Showcase France,World Showcase Morocco,,,,,,1.3,77.1,storm,none,5,park_hopper,6.55,1.61
17868,2025-06-26 14:54:40,World Nature,World Celebration,Mission: SPACE,Thrill,26.1,21.6,7.0,3.1,77.1,storm,none,4,standard,8.25,1.05
25203,2025-09-20 10:11:00,Entrance,World Discovery,,,,,,6.8,82.0,cloudy,Food & Wine,3,park_hopper,3.89,4.51
8459,2025-04-01 15:29:45,World Showcase Canada,World Showcase United Kingdom,,,,,,2.2,69.8,clear,Flower & Garden,5,park_hopper,4.71,3.21
14002,2025-06-02 12:39:00,World Showcase Japan,World Showcase Mexico,,,,,,2.9,83.1,cloudy,none,2,standard,5.8,3.07
9164,2025-04-09 10:21:57,World Showcase Morocco,World Showcase France,,,,,,1.8,76.4,clear,Flower & Garden,4,standard,5.41,4.4
15740,2025-06-11 18:32:39,World Showcase Canada,World Nature,,,,,,1.0,92.3,storm,none,6,standard,5.77,3.23
12334,2025-05-11 15:46:31,World Discovery,Entrance,,,,,,2.6,73.8,cloudy,Flower & Garden,2,park_hopper,5.72,4.34
25148,2025-09-20 15:36:00,World Showcase American Adventure,World Showcase Italy,,,,,,6.8,82.0,cloudy,Food & Wine,2,annual_pass,4.85,2.28
25002,2025-09-20 11:10:48,World Showcase American Adventure,World Discovery,Remy's Ratatouille Adventure,Family,35.2,33.3,10.2,7.9,82.0,cloudy,Food & Wine,5,standard,7.95,2.63
26229,2025-10-12 19:04:57,World Showcase United Kingdom,World Showcase France,,,,,,7.2,80.2,cloudy,Food & Wine,2,standard,4.17,2.92
4265,2025-02-04 15:29:21,World Showcase American Adventure,World Discovery,,,,,,4.5,66.1,clear,Festival of the Arts,6,standard,5.94,2.7
15676,2025-06-11 16:36:58,World Showcase Canada,World Showcase United Kingdom,,,,,,1.0,92.3,storm,none,3,standard,7.42,1.24
12215,2025-05-11 09:39:29,World Nature,Entrance,,,,,,3.0,73.8,cloudy,Flower & Garden,4,standard,5.37,4.72
22963,2025-08-31 18:55:56,World Showcase France,World Showcase Morocco,,,,,,5.7,61.5,cloudy,Food & Wine,5,standard,6.7,3.5
14194,2025-06-05 14:02:36,World Showcase Canada,World Nature,,,,,,1.5,98.0,storm,none,6,standard,7.42,2.88
12360,2025-05-11 10:12:00,World Showcase American Adventure,World Discovery,Spaceship Earth,Family,7.5,7.4,13.9,1.9,73.8,cloudy,Flower & Garden,3,standard,9.52,1.0
1485,2025-01-24 12:23:53,World Showcase Norway,World Showcase China,,,,,,2.7,58.7,cloudy,Festival of the Arts,2,annual_pass,5.06,4.29
4601,2025-02-07 15:17:00,World Showcase Italy,World Showcase Germany,Frozen Ever After,Family,37.9,38.4,14.3,4.3,64.8,clear,Festival of the Arts,4,park_hopper,10.0,3.09
15164,2025-06-09 15:38:54,World Showcase China,World Showcase Norway,,,,,,1.7,89.9,storm,none,3,annual_pass,3.94,2.95
19816,2025-07-14 15:44:44,World Showcase Morocco,World Showcase France,Remy's Ratatouille Adventure,Family,13.0,12.9,7.7,1.0,83.8,storm,none,6,standard,9.15,1.46
7818,2025-03-11 10:58:21,World Discovery,Entrance,Remy's Ratatouille Adventure,Family,33.1,36.1,17.3,1.1,83.6,cloudy,Flower & Garden,3,standard,8.71,2.87
4867,2025-02-08 16:28:08,World Nature,World Showcase American Adventure,Soarin' Around the World,Family,35.3,31.5,12.5,3.6,55.0,clear,Festival of the Arts,1,annual_pass,7.1,1.59
16497,2025-06-19 09:35:00,World Nature,World Showcase Canada,,,,,,1.7,87.2,light_rain,none,5,standard,6.31,2.59
9228,2025-04-09 17:02:35,World Showcase American Adventure,World Showcase Italy,,,,,,1.7,76.4,clear,Flower & Garden,6,standard,4.58,8.16
6048,2025-02-16 10:33:01,World Nature,World Showcase Canada,Living with the Land,Family,34.6,26.9,4.8,4.2,74.5,cloudy,Festival of the Arts,2,standard,7.81,1.98
19174,2025-07-10 10:51:25,Entrance,World Discovery,,,,,,2.3,76.6,cloudy,none,6,standard,5.5,1.27
25399,2025-10-06 09:50:00,World Discovery,Entrance,Guardians of the Galaxy: Cosmic Rewind,Thrill,66.9,58.1,16.7,2.4,83.3,light_rain,Food & Wine,4,standard,10.0,2.83
9357,2025-04-09 14:09:22,Entrance,World Nature,,,,,,2.5,76.4,clear,Flower & Garden,4,standard,6.86,3.22
10365,2025-04-15 12:17:28,World Showcase Canada,World Showcase United Kingdom,Remy's Ratatouille Adventure,Family,34.5,36.9,10.0,2.4,75.7,clear,Flower & Garden,3,standard,8.22,3.18
12475,2025-05-12 19:04:44,World Showcase Canada,World Nature,,,,,,1.2,66.9,storm,Flower & Garden,2,annual_pass,6.12,3.02
13119,2025-05-17 10:00:27,Entrance,World Showcase Morocco,,,,,,2.2,70.1,storm,Flower & Garden,3,standard,5.97,2.66
2739,2025-01-28 20:51:35,World Showcase Morocco,World Showcase France,,,,,,3.2,55.0,light_rain,Festival of the Arts,3,standard,5.12,2.05
25268,2025-10-06 19:25:01,World Discovery,World Showcase American Adventure,,,,,,3.6,83.3,light_rain,Food & Wine,2,standard,3.98,2.11
16366,2025-06-18 14:17:00,Entrance,World Nature,Frozen Ever After,Family,69.3,66.4,12.1,3.5,72.1,cloudy,none,5,park_hopper,7.13,5.75
25533,2025-10-07 17:58:44,World Nature,World Showcase Canada,,,,,,3.8,73.7,clear,Food & Wine,4,park_hopper,5.16,4.27
10467,2025-04-15 16:43:22,World Showcase Germany,World Showcase China,,,,,,2.3,75.7,clear,Flower & Garden,4,standard,5.22,3.54
2271,2025-01-26 09:21:00,Entrance,World Nature,,,,,,2.7,73.1,clear,Festival of the Arts,5,standard,6.63,1.0
26307,2025-10-14 15:32:16,World Showcase Germany,World Showcase China,,,,,,6.0,72.6,cloudy,Food & Wine,6,standard,3.26,4.4
15201,2025-06-09 17:30:28,World Discovery,World Showcase American Adventure,Frozen Ever After,Family,35.1,31.0,11.1,1.9,89.9,storm,none,1,annual_pass,8.74,1.14
25990,2025-10-08 18:41:29,World Showcase France,World Showcase Morocco,,,,,,3.5,70.8,cloudy,Food & Wine,6,standard,3.57,4.92
14002,2025-06-02 12:17:00,World Showcase Morocco,World Showcase Japan,,,,,,3.7,83.1,cloudy,none,2,standard,3.45,3.79
18404,2025-06-30 14:12:52,World Nature,World Showcase Italy,,,,,,3.1,84.5,clear,none,3,standard,5.86,4.32
14400,2025-06-06 09:39:00,World Showcase United Kingdom,World Nature,Frozen Ever After,Family,41.8,36.8,13.6,1.0,85.9,cloudy,none,2,standard,9.5,1.71
15330,2025-06-10 14:28:19,World Showcase China,World Showcase Norway,Journey Into Imagination with Figment,Family,8.8,8.4,18.8,2.2,70.2,cloudy,none,1,annual_pass,7.32,1.12
18709,2025-07-04 11:56:53,World Showcase Italy,World Showcase American Adventure,,,,,,3.3,98.0,light_rain,none,6,standard,6.72,4.95
11662,2025-05-02 10:39:21,World Showcase Mexico,World Showcase Norway,Remy's Ratatouille Adventure,Family,29.2,23.8,14.6,2.1,81.6,clear,Flower & Garden,1,annual_pass,8.38,1.72
27175,2025-11-05 14:17:17,World Showcase Morocco,World Showcase Japan,,,,,,5.8,78.5,light_rain,Food & Wine,6,standard,7.75,1.07
22431,2025-08-14 18:40:58,World Showcase France,World Showcase United Kingdom,,,,,,3.1,75.3,light_rain,Food & Wine,2,standard,3.9,1.11
25976,2025-10-08 12:11:00,World Showcase Canada,World Nature,,,,,,5.2,70.8,cloudy,Food & Wine,2,standard,7.36,2.89
16961,2025-06-20 10:18:49,World Discovery,World Celebration,,,,,,1.5,91.6,cloudy,none,5,standard,7.42,2.51
16550,2025-06-19 14:24:23,World Celebration,World Showcase China,,,,,,1.6,87.2,light_rain,none,3,annual_pass,4.46,1.23
4505,2025-02-07 15:01:59,World Celebration,World Nature,Soarin' Around the World,Family,42.7,39.2,13.5,1.8,64.8,clear,Festival of the Arts,4,standard,8.54,3.26
27075,2025-11-05 16:46:01,World Showcase France,World Showcase United Kingdom,The American Adventure,Slow,5.6,5.5,8.6,4.6,78.5,light_rain,Food & Wine,6,standard,6.07,1.2
14491,2025-06-06 20:31:35,World Showcase Italy,World Discovery,Remy's Ratatouille Adventure,Family,54.7,43.8,12.4,2.4,85.9,cloudy,none,2,standard,8.87,2.46
17513,2025-06-22 12:27:00,Entrance,World Showcase Italy,,,,,,2.4,91.5,storm,none,4,park_hopper,6.69,3.78
5777,2025-02-14 17:52:18,World Showcase Japan,World Showcase Morocco,,,,,,2.8,68.1,clear,Festival of the Arts,6,standard,7.39,3.18
16422,2025-06-19 17:03:34,World Showcase Canada,World Showcase Morocco,,,,,,1.8,87.2,light_rain,none,4,standard,6.55,2.48
2709,2025-01-28 10:41:00,World Showcase Mexico,World Celebration,,,,,,2.7,55.0,light_rain,Festival of the Arts,3,annual_pass,5.38,3.25
22408,2025-08-14 15:39:47,World Discovery,World Celebration,,,,,,3.6,75.3,light_rain,Food & Wine,3,standard,4.8,1.0
16729,2025-06-19 09:12:00,Entrance,World Showcase Morocco,,,,,,1.1,87.2,light_rain,none,1,annual_pass,7.01,3.61
12952,2025-05-17 15:47:36,Entrance,World Showcase China,,,,,,1.5,70.1,storm,Flower & Garden,5,standard,6.93,2.21
2930,2025-01-30 16:47:01,World Showcase Morocco,World Showcase Germany,,,,,,1.6,76.9,clear,Festival of the Arts,3,park_hopper,4.12,1.69
7310,2025-03-07 11:10:00,Entrance,World Showcase Canada,Soarin' Around the World,Family,31.4,37.6,7.2,2.2,65.9,clear,Flower & Garden,6,standard,8.84,3.8
5395,2025-02-11 13:58:24,World Showcase American Adventure,World Showcase Japan,Frozen Ever After,Family,38.7,38.1,15.7,3.9,60.7,clear,Festival of the Arts,5,standard,9.43,4.76
16089,2025-06-18 18:16:12,World Showcase American Adventure,World Showcase Italy,Frozen Ever After,Family,34.7,35.1,13.1,2.2,72.1,cloudy,none,2,standard,9.8,2.49
173,2025-01-17 11:15:34,World Discovery,Entrance,,,,,,2.7,57.0,clear,Festival of the Arts,3,standard,5.82,3.31
4810,2025-02-08 11:24:10,World Nature,World Showcase Mexico,Spaceship Earth,Family,13.5,12.6,16.0,4.1,55.0,clear,Festival of the Arts,3,standard,6.56,2.14
20039,2025-07-15 15:03:04,World Showcase Canada,World Showcase United Kingdom,Guardians of the Galaxy: Cosmic Rewind,Thrill,114.2,100.7,10.0,3.9,74.6,cloudy,none,3,standard,9.81,6.45
7654,2025-03-11 18:16:12,World Showcase American Adventure,World Showcase Italy,,,,,,2.6,83.6,cloudy,Flower & Garden,2,standard,5.49,2.56
4624,2025-02-07 13:16:06,World Showcase United Kingdom,World Showcase American Adventure,,,,,,4.6,64.8,clear,Festival of the Arts,2,standard,4.34,5.87
9093,2025-04-09 11:35:02,World Showcase Norway,World Showcase Mexico,Mission: SPACE,Thrill,24.9,21.4,11.5,3.1,76.4,clear,Flower & Garden,6,standard,8.03,1.0
11503,2025-05-01 18:26:50,World Showcase China,World Showcase Canada,,,,,,2.3,77.8,clear,Flower & Garden,4,park_hopper,6.33,3.34
26333,2025-10-14 16:56:13,World Showcase Italy,World Showcase American Adventure,Test Track,Thrill,33.4,25.1,12.7,3.5,72.6,cloudy,Food & Wine,3,park_hopper,9.01,2.17
